Name,Min,Max,Calories,Gram_Prot,Gram_Fat,Gram_Carb
Banana 1u, 0, 4, 89, 1, 0, 23
Mandarin 1u, 0, 4, 40, 1, 0, 10
Ananas 100g, 0, 7, 50, 1, 0, 13
Grapes 100g, 0, 7, 76, 1, 0, 17
Chocolate 1 bar, 0, 4, 230, 3, 13, 25
Hard Cheese 100g, 0, 8, 350, 28, 26, 2
Soft Cheese 100g, 0, 8, 374, 18, 33, 1
Pesto 100g, 0, 8, 303, 3, 30, 4
Hoummous 100g, 0, 8, 306, 7, 25, 11
Aubergine Paste 100g, 0, 4, 228, 1, 20, 8
Protein Shake, 0, 5, 160, 30, 3, 5
Veggie Burger 1, 0, 5, 220, 21, 12, 3
Veggie Burger 2, 0, 12, 165, 16, 9, 2
Boiled Egg, 0, 8, 155, 13, 11, 1
Backed Egg, 0, 16, 196, 14, 15, 1
Baguette Bread Half, 0, 3, 274, 10, 0, 52
Square Bread 1 slice, 0, 3, 97, 3, 1, 17
Cheese Pizza 1u, 0, 3, 903, 36, 47, 81
Veggie Pizza 1u, 0, 3, 766, 26, 35, 85
Soy Milk 200ml, 0, 1, 115, 8, 4, 11
Soy Chocolate Milk 250ml, 0, 3, 160, 7, 6,20
